promotion,bouts,fighters,direct_ufc,linked_to_ufc,link_rate
WCFC,1,1,0,1,1.0
MX,1,1,1,1,1.0
Tula MMA Federation,1,1,0,0,0.0
HD,1,1,0,0,0.0
Castagne,1,1,0,0,0.0
Animalistic MMA,1,1,0,1,1.0
UGB,1,1,0,0,0.0
Warriors Fight Promotion,1,1,0,0,0.0
LFC / LK,1,1,0,1,1.0
DWTC,1,1,0,1,1.0
MSZ,1,1,0,1,1.0
Spartacus Fighting,1,1,0,1,1.0
ECE,1,1,0,1,1.0
Team Bushido,1,1,1,1,1.0
Arena MMA Plovdiv,1,1,0,0,0.0
SL,1,1,0,0,0.0
PLMMA 17 Extra,1,1,0,1,1.0
HOP,1,1,0,1,1.0
Head to Head,1,1,0,1,1.0
Real Warriors League,1,1,0,0,0.0
SFL 30-31,1,1,0,0,0.0
Ringlife Talents,1,1,0,0,0.0
Fight Kingdom,1,1,0,0,0.0
IRIC,1,1,0,0,0.0
Crajubar Fight,1,1,0,1,1.0
CSF,1,1,0,1,1.0
Buffalo Combat,1,1,0,1,1.0
Armored Wings,1,1,0,1,1.0
OPP Presents,1,1,0,1,1.0
VFS,1,1,0,1,1.0
Core,1,1,0,0,0.0
TZ,1,1,0,0,0.0
Southern Combat Sports,1,1,0,0,0.0
GEFC / FMMARC,1,1,0,0,0.0
Martins Competition,1,1,0,1,1.0
OctoFight France,1,1,0,1,1.0
FPC,1,1,0,1,1.0
Kingdom Fighting,1,1,0,1,1.0
CDM Promotions,1,1,0,1,1.0
Elevate FC,1,1,0,1,1.0
Torneio Gladiador,1,1,0,0,0.0
JF,1,1,0,0,0.0
R2 Combat,1,1,0,0,0.0
FFN,1,1,0,0,0.0
RLFC MMA,1,1,0,1,1.0
Strife Tube,1,1,0,1,1.0
Liga Inmortal,1,1,0,0,0.0
Reto MMA VZLA,1,1,0,0,0.0
TKF,1,1,0,0,0.0
Jungle Strike Championship,1,1,0,0,0.0
Path to Hex,1,1,0,0,0.0
IMMAFA,1,1,0,0,0.0
Batyr Bashy,1,1,0,1,1.0
Brave CF 81 / WFC,1,1,0,1,1.0
WWFC / UAFC,1,1,0,1,1.0
Leo Max Man's Club,1,1,0,1,1.0
RXF 36 / Brave CF,1,1,0,0,0.0
RMMAF Series,1,1,0,1,1.0
Professional Fight Gym Mix Kombat,1,1,0,1,1.0
CWB Fight League,1,1,0,0,0.0
MaxPain,1,1,0,0,0.0
Gordon Fight Nights,1,1,0,1,1.0
GIC,1,1,0,0,0.0
No Mercy Combat,1,1,0,1,1.0
TTB,1,1,0,1,1.0
O Rei da Luta,1,1,0,1,1.0
AFG,1,1,0,1,1.0
Collision Fight Champions,1,1,0,1,1.0
Fight Leste,1,1,0,1,1.0
RM,1,1,0,1,1.0
Triple A,1,1,0,0,0.0
Most Valuable Promotions,1,1,0,0,0.0
Ox MMA,1,1,0,1,1.0
Blue Corner Promotions,1,1,0,1,1.0
Ludus Fight League,1,1,0,1,1.0
LMS,1,1,0,0,0.0
YBN,1,1,0,0,0.0
Noc Valecniku,1,1,0,0,0.0
WFC 24 / Brave CF,1,1,0,1,1.0
R1 Uzbekistan,1,1,0,1,1.0
PCT,1,1,0,1,1.0
Free Fight MMA,1,1,0,1,1.0
CDL Fight,1,1,0,0,0.0
Guerra Campal,1,1,0,0,0.0
Leon Cardenas,1,1,0,0,0.0
Master Fighters Championship,1,1,0,0,0.0
R2B Combat,1,1,0,0,0.0
Voronezh Fight Club,1,1,0,0,0.0
Valuyki Forpost,1,1,0,0,0.0
Ultimate Sanda Fighter,1,1,0,1,1.0
King of Kings,1,1,0,0,0.0
Yakuza Fight,1,1,0,0,0.0
Torres Fight,1,1,0,0,0.0
Ronin MMA,1,1,0,0,0.0
AT,1,1,0,0,0.0
MSC,1,1,0,0,0.0
Radio 96 FM,1,1,0,0,0.0
NP Fight Brazil,1,1,0,0,0.0
Brawl,1,1,0,1,1.0
Imagine FC 3.0,1,1,0,0,0.0
FCR 24 / BoB,1,1,0,0,0.0
TR Fight,1,1,0,1,1.0
CMMARO,1,1,0,1,1.0
Full House,1,1,0,1,1.0
CA Fight Syndicate,1,1,0,1,1.0
Lords of Combat,1,1,0,1,1.0
MMA by the Bay,1,1,0,0,0.0
Qadya,1,1,0,1,1.0
Rose,1,1,0,0,0.0
Legion,1,1,0,0,0.0
Ponte Nova Fight,1,1,0,1,1.0
CGBS,1,1,0,0,0.0
Crixus MMA,1,1,0,0,0.0
Arena Fighting Garage,1,1,0,0,0.0
Fight Music,1,1,0,0,0.0
Braga Pro,1,1,0,1,1.0
K1L,1,1,0,0,0.0
Revolution Fighting Champion,1,1,0,0,0.0
Octagon Promotion & U1,1,1,0,0,0.0
MFN Brazil,1,1,0,1,1.0
War of Champions,1,1,0,1,1.0
CAMMA,1,1,0,0,0.0
Sao Goncalo,1,1,0,0,0.0
WTKA Italy,1,1,0,0,0.0
King of the Ring,1,1,0,0,0.0
Venator FC,1,1,0,0,0.0
PNFC,1,1,0,0,0.0
Blaze,1,1,0,0,0.0
Bonito Eco Fight Combat,1,1,0,1,1.0
CPW,1,1,0,1,1.0
Arena Fight Combat,1,1,0,0,0.0
RHMFN,1,1,0,1,1.0
Local Legends,1,1,0,0,0.0
GAMA,1,1,0,0,0.0
Cage Warrior,1,1,1,1,1.0
Magnum,1,1,1,1,1.0
fightFORCE,1,1,0,1,1.0
UOP,1,1,0,1,1.0
SWG,1,1,0,1,1.0
Kansas Combat Coalition,1,1,0,1,1.0
SRP,1,1,0,1,1.0
FHB,1,1,0,1,1.0
Fox Fight Joacaba,1,1,0,1,1.0
Challenge,1,1,0,0,0.0
FIKBMS,1,1,1,1,1.0
KV Arena Max,1,1,0,1,1.0
NNB,1,1,0,1,1.0
Tempel Fight School,1,1,0,1,1.0
TCT,1,1,0,1,1.0
2H2H,1,1,0,0,0.0
UPC Unlimited,1,1,0,1,1.0
Mosley Showdown Promotions,1,1,0,1,1.0
Coliseum Gladiator MMA,1,1,0,1,1.0
Gloria,1,1,0,0,0.0
CINTHEC,1,1,0,0,0.0
Campania Kombat,1,1,0,0,0.0
CFB,1,1,0,0,0.0
Coronel Fight,1,1,0,1,1.0
Cowboy MMA,1,1,1,1,1.0
CCA,1,1,0,0,0.0
UFG,1,1,0,0,0.0
CNP,1,1,0,0,0.0
Rey del Tatami,1,1,0,0,0.0
Backstreet Fights,1,1,0,0,0.0
Savage Fight Club,1,1,0,0,0.0
Camp Lejeune,1,1,0,1,1.0
SFL 46 / CageSport,1,1,0,1,1.0
Dominate FC,1,1,0,1,1.0
APEX,1,1,1,1,1.0
Dome Of War,1,1,0,1,1.0
Combat Challenge,1,1,0,1,1.0
GOCFC,1,1,0,1,1.0
Lockdown FC,1,1,0,0,0.0
CK,1,1,0,0,0.0
Legacy Amateur Series,1,1,0,0,0.0
NGFN,1,1,0,0,0.0
Bilic-Eric Security,1,1,0,0,0.0
Caged Warrior Combat,1,1,0,1,1.0
OFN,1,1,0,0,0.0
SJSF,1,1,0,0,0.0
Blackout,1,1,0,0,0.0
CP,1,1,0,0,0.0
MMA Sanda Combat,1,1,0,0,0.0
BPL,1,1,0,1,1.0
CES MMA,1,1,0,1,1.0
Supremacy Fighting Championship,1,1,0,0,0.0
Danger-Fire Promotions,1,1,0,1,1.0
Nitrix Fight Evolution,1,1,0,0,0.0
UCW,1,1,0,1,1.0
TMT MMA,1,1,0,1,1.0
Europa MMA,1,1,0,0,0.0
Aftershock,1,1,0,0,0.0
Undisputed Fight Series,1,1,0,0,0.0
SFL,1,1,0,0,0.0
Real,1,1,0,1,1.0
Shooto Germany,1,1,1,1,1.0
Elite Boxing Germany,1,1,1,1,1.0
SUW,1,1,0,1,1.0
UMMAP,1,1,0,1,1.0
GPG,1,1,0,1,1.0
WDFC,1,1,0,0,0.0
Cage Control,1,1,0,0,0.0
ROD FC,1,1,0,0,0.0
OSE Professional,1,1,0,0,0.0
ProFC Ukraine,1,1,0,1,1.0
F2F,1,1,1,1,1.0
Wocs,1,1,0,1,1.0
Union MMA Pro,1,1,0,1,1.0
